financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_fl_rl_1,pure_rl,fl_rl,5469018.967045753,1000000.0,5469018.967046055,4469018.967046055,0.0,0.0,6.0,0.0,2640,2640,0,0.0,88949737.74581864,0.0,0.0,0.0,0,4253,709098,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5692630.77570139,1000000.0,5692630.77570131,4692630.77570131,0.0,0.0,6.0,0.0,2593,2593,0,0.0,91023326.33761302,0.0,0.0,0.0,0,4253,709098,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5403055.464169456,1000000.0,5403055.4641691595,4403055.4641691595,0.0,0.0,6.0,0.0,2713,2713,0,0.0,90311945.26806146,0.0,0.0,0.0,0,4253,709098,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,5193976.293669863,1000000.0,5193976.293669809,4193976.2936698087,0.0,0.0,6.0,0.0,2406,2406,0,0.0,83370607.54299836,0.0,0.0,0.0,0,4247,709098,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5492748.008913074,1000000.0,5492748.008913278,4492748.008913278,0.0,0.0,6.0,0.0,2677,2677,0,0.0,90097569.11130996,0.0,0.0,0.0,0,4247,709098,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5899283.636294098,1000000.0,5899283.636294211,4899283.636294211,0.0,0.0,6.0,0.0,2794,2794,0,0.0,94409371.64579433,0.0,0.0,0.0,0,4247,709098,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5586742.936143791,1000000.0,5586742.936143397,4586742.936143397,0.0,0.0,6.0,0.0,2722,2722,0,0.0,91087189.74867868,0.0,0.0,0.0,0,4241,709098,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5615051.602887468,1000000.0,5615051.602888336,4615051.602888336,0.0,0.0,6.0,0.0,2635,2635,0,0.0,90780927.2105758,0.0,0.0,0.0,0,4241,709098,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5598632.25857339,1000000.0,5598632.258573428,4598632.258573428,0.0,0.0,6.0,0.0,2666,2666,0,0.0,90119148.5944314,0.0,0.0,0.0,0,4241,709098,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4824662.281107924,1000000.0,4824662.281107701,3824662.2811077014,0.0,0.0,6.0,0.0,2451,2451,0,0.0,79790971.38638054,0.0,0.0,0.0,0,4249,436570,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,6103888.723921121,1000000.0,6103888.723921161,5103888.723921161,0.0,0.0,6.0,0.0,2946,2946,0,0.0,98307392.72397956,0.0,0.0,0.0,0,4249,436570,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,4634330.648539118,1000000.0,4634330.648540251,3634330.648540251,0.0,0.0,6.0,0.0,1933,1933,0,0.0,66682119.58235477,0.0,0.0,0.0,0,4249,436570,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,6340420.862500233,1000000.0,6340420.862500299,5340420.862500299,0.0,0.0,6.0,0.0,2836,2836,0,0.0,96351247.7645304,0.0,0.0,0.0,0,4254,436570,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5788051.259286105,1000000.0,5788051.259285873,4788051.259285873,0.0,0.0,6.0,0.0,2911,2911,0,0.0,94443885.78631498,0.0,0.0,0.0,0,4254,436570,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,4338145.375234633,1000000.0,4338145.375234697,3338145.375234697,0.0,0.0,6.0,0.0,1761,1761,0,0.0,60735069.866137765,0.0,0.0,0.0,0,4254,436570,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5353580.144505118,1000000.0,5353580.144504739,4353580.144504739,0.0,0.0,6.0,0.0,2880,2880,0,0.0,92965807.22079404,0.0,0.0,0.0,0,4250,436570,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5232575.424381494,1000000.0,5232575.424381849,4232575.424381849,0.0,0.0,6.0,0.0,2513,2513,0,0.0,84708440.43087061,0.0,0.0,0.0,0,4250,436570,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5177538.970635704,1000000.0,5177538.970635605,4177538.970635605,0.0,0.0,6.0,0.0,2258,2258,0,0.0,78978672.98016615,0.0,0.0,0.0,0,4250,436570,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5585699.3099722825,1000000.0,5585699.309972005,4585699.309972005,0.0,0.0,6.0,0.0,2509,2509,0,0.0,87229236.20812762,0.0,0.0,0.0,0,4267,831197,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,6091199.415016134,1000000.0,6091199.415015845,5091199.415015845,0.0,0.0,6.0,0.0,2940,2940,0,0.0,98297589.14605454,0.0,0.0,0.0,0,4267,831197,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5853200.618290948,1000000.0,5853200.618290828,4853200.618290828,0.0,0.0,6.0,0.0,2389,2389,0,0.0,82323821.1388427,0.0,0.0,0.0,0,4267,831197,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,4358696.223031145,1000000.0,4358696.223031086,3358696.223031086,0.0,0.0,6.0,0.0,1894,1894,0,0.0,64743820.96654219,0.0,0.0,0.0,0,4260,831197,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,7200676.236641964,1000000.0,7200676.236642375,6200676.236642375,0.0,0.0,6.0,0.0,3261,3261,0,0.0,110724316.0353,0.0,0.0,0.0,0,4260,831197,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,6589069.386883784,1000000.0,6589069.386884338,5589069.386884338,0.0,0.0,6.0,0.0,2698,2698,0,0.0,92429804.50591306,0.0,0.0,0.0,0,4260,831197,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,6743326.752683689,1000000.0,6743326.752683457,5743326.752683457,0.0,0.0,6.0,0.0,2946,2946,0,0.0,103110755.77589287,0.0,0.0,0.0,0,4244,831197,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,6154384.651309999,1000000.0,6154384.651310206,5154384.651310206,0.0,0.0,6.0,0.0,2897,2897,0,0.0,97841851.22286972,0.0,0.0,0.0,0,4244,831197,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,4879875.294702282,1000000.0,4879875.294702546,3879875.2947025457,0.0,0.0,7.0,0.0,2084,2084,0,0.0,70324858.14156245,0.0,0.0,0.0,0,4244,831197,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,2946312.155459463,1000000.0,2946312.155459855,1946312.1554598552,0.0,0.0,24.0,0.0,1384,1384,68,0.049132947976878616,46274128.42254362,139284.40022901865,0.00300998430391101,0.13928440022901864,0,4242,709098,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,4819306.531328946,1000000.0,4819306.531329162,3819306.5313291624,0.0,0.0,6.0,0.0,2358,2358,65,0.0275657336726039,81381411.42258385,145580.12056962188,0.0017888620758084136,0.14558012056962188,0,4242,709098,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6761964.341478083,1000000.0,6761964.341478354,5761964.341478354,0.0,0.0,23.0,0.0,3157,3157,19,0.006018371872030409,105921198.60519844,45095.46055045746,0.0004257453762257959,0.045095460550457454,0,4242,709098,low_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,2946312.155459463,1000000.0,2946312.155459855,1946312.1554598552,0.0,0.0,24.0,0.0,1384,1384,68,0.049132947976878616,46274128.42254362,139284.40022901865,0.00300998430391101,0.13928440022901864,0,4242,709098,low_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,4819306.531328946,1000000.0,4819306.531329162,3819306.5313291624,0.0,0.0,6.0,0.0,2358,2358,65,0.0275657336726039,81381411.42258385,145580.12056962188,0.0017888620758084136,0.14558012056962188,0,4242,709098,low_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,6761964.341478083,1000000.0,6761964.341478354,5761964.341478354,0.0,0.0,23.0,0.0,3157,3157,19,0.006018371872030409,105921198.60519844,45095.46055045746,0.0004257453762257959,0.045095460550457454,0,4242,709098,low_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,3310814.262780104,1000000.0,3310814.2627799883,2310814.2627799883,0.0,0.0,24.0,0.0,1551,1551,71,0.04577691811734365,52738605.279560104,159054.03124631284,0.0030158937727531713,0.15905403124631284,0,4255,709098,low_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,4486199.682418028,1000000.0,4486199.682417648,3486199.682417648,0.0,0.0,6.0,0.0,1801,1801,65,0.03609106052193226,63378527.92373112,141175.41961558358,0.002227496034389947,0.14117541961558358,0,4255,709098,low_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,6605243.783766209,1000000.0,6605243.783765705,5605243.783765705,0.0,0.0,23.0,0.0,3003,3003,17,0.005661005661005661,100273010.18903074,36604.7691954488,0.0003650510653509147,0.0366047691954488,0,4255,709098,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4999772.913230661,1000000.0,4999772.913230838,3999772.9132308383,0.0,0.0,6.0,0.0,2014,2014,28,0.013902681231380337,69974667.62251103,53606.3725158552,0.0007660825601207984,0.0536063725158552,0,4259,436570,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5084062.112776928,1000000.0,5084062.112777205,4084062.112777205,0.0,0.0,6.0,0.0,2233,2233,51,0.02283922973578146,77830734.92701462,107417.46983482504,0.0013801420471688368,0.10741746983482504,0,4259,436570,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5236359.657305545,1000000.0,5236359.657305821,4236359.657305821,0.0,0.0,6.0,0.0,2445,2445,31,0.012678936605316974,81233195.05205798,60044.65581548191,0.0007391640298895362,0.06004465581548191,0,4259,436570,low_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,3902904.5081139226,1000000.0,3902904.508114249,2902904.508114249,0.0,0.0,15.0,0.0,1517,1517,29,0.01911667765326302,54013885.56047364,55269.98633615161,0.0010232551456471623,0.055269986336151614,0,4261,436570,low_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,4506756.375586229,1000000.0,4506756.375586524,3506756.3755865237,0.0,0.0,6.0,0.0,2348,2348,91,0.038756388415672915,81121214.64582735,203049.43206981884,0.0025030373738401997,0.20304943206981885,0,4261,436570,low_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5765624.234872648,1000000.0,5765624.234872869,4765624.234872869,0.0,0.0,6.0,0.0,2925,2925,21,0.0071794871794871795,95178737.71869975,40597.699181727745,0.00042654168519983975,0.040597699181727745,0,4261,436570,low_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,4414315.891786003,1000000.0,4414315.891785006,3414315.891785006,0.0,0.0,6.0,0.0,2102,2102,20,0.009514747859181731,73286822.69700085,36618.667835516026,0.000499662374324963,0.036618667835516025,0,4241,436570,low_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,4340039.941302074,1000000.0,4340039.941303711,3340039.9413037114,0.0,0.0,6.0,0.0,1987,1987,47,0.02365374937091092,68719293.47662579,95284.39923780425,0.0013865741979756285,0.09528439923780424,0,4241,436570,low_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,4650487.855597967,1000000.0,4650487.85559802,3650487.8555980204,0.0,0.0,6.0,0.0,2294,2294,35,0.015257192676547515,75397691.59784874,72366.53595881673,0.0009597977660218115,0.07236653595881673,0,4241,436570,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,3577592.777776538,1000000.0,3577592.777776697,2577592.777776697,0.0,0.0,6.0,0.0,1721,1721,85,0.04938988959907031,57974560.08305123,191942.3075358116,0.003310802311580207,0.1919423075358116,0,4278,831197,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5101198.2879660735,1000000.0,5101198.287966117,4101198.2879661173,0.0,0.0,6.0,0.0,2208,2208,65,0.029438405797101448,78274946.12313023,130737.77304098036,0.0016702377902033123,0.13073777304098036,0,4278,831197,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6103607.735309134,1000000.0,6103607.735309542,5103607.735309542,0.0,0.0,6.0,0.0,2917,2917,24,0.0082276311278711,96757531.37502475,48359.89493388443,0.0004998049686328312,0.048359894933884436,0,4278,831197,low_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,3577592.777776538,1000000.0,3577592.777776697,2577592.777776697,0.0,0.0,6.0,0.0,1721,1721,85,0.04938988959907031,57974560.08305123,191942.3075358116,0.003310802311580207,0.1919423075358116,0,4278,831197,low_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5101198.2879660735,1000000.0,5101198.287966117,4101198.2879661173,0.0,0.0,6.0,0.0,2208,2208,65,0.029438405797101448,78274946.12313023,130737.77304098036,0.0016702377902033123,0.13073777304098036,0,4278,831197,low_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,6103607.735309134,1000000.0,6103607.735309542,5103607.735309542,0.0,0.0,6.0,0.0,2917,2917,24,0.0082276311278711,96757531.37502475,48359.89493388443,0.0004998049686328312,0.048359894933884436,0,4278,831197,low_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,4811566.468197206,1000000.0,4811566.468196905,3811566.468196905,0.0,0.0,6.0,0.0,2308,2308,97,0.042027729636048526,78511763.75349301,211820.24808761713,0.002697942804503525,0.21182024808761712,0,4256,831197,low_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,4377006.205872769,1000000.0,4377006.20587258,3377006.2058725804,0.0,0.0,6.0,0.0,1663,1663,50,0.03006614552014432,58873586.557348244,102960.54189545622,0.0017488409984189304,0.10296054189545623,0,4256,831197,low_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,6108362.410315043,1000000.0,6108362.410315156,5108362.410315156,0.0,0.0,6.0,0.0,2965,2965,24,0.008094435075885328,98242924.22494742,46881.529180047146,0.0004772000584256045,0.04688152918004715,0,4256,831197,low_default,1000000.0
